
    Sonde serial number                          	M4643053
    Sonde type                                   	RS92-SGP
    Release point longitude                      	73.83�E
    Release point latitude                       	19.90�N
    Release point height from sea level          	1151 m
    Balloon release date and time                	2022-03-28T14:31:19

   n HeightMSL  Temp     P RH Dir Speed  MRI
             m    �C    mb  %   �   m/s     
 236      2078  26.8 853.8 18 330   6.3  483
 237      2083  26.8 853.3 19 329   6.2  484
 238      2087  26.8 852.9 19 329   6.2  485
 239      2091  26.7 852.5 19 329   6.2  486
 240      2095  26.7 852.1 19 328   6.1  487
 241      2098  26.7 851.8 19 328   6.1  487
 242      2102  26.6 851.4 19 327   6.0  487
 243      2106  26.6 851.1 19 327   6.0  488
 244      2110  26.5 850.7 19 327   6.0  489
 245      2114  26.5 850.3 19 326   5.9  489
 246      2119  26.5 849.8 19 326   5.9  490
 247      2123  26.4 849.4 19 325   5.9  490
 248      2127  26.4 849.0 19 325   5.8  491
 249      2131  26.3 848.7 19 324   5.8  491
 250      2134  26.3 848.3 19 324   5.8  492
 251      2137  26.3 848.0 19 323   5.8  492
 252      2141  26.2 847.7 19 323   5.7  493
 253      2144  26.2 847.4 20 322   5.7  493
 254      2147  26.2 847.1 20 322   5.7  494
 255      2150  26.1 846.8 20 322   5.6  494
 256      2154  26.1 846.5 20 321   5.6  495
 257      2157  26.1 846.1 20 321   5.6  495
 258      2160  26.0 845.8 20 320   5.5  496
 259      2163  26.0 845.5 20 320   5.5  496
 260      2166  26.0 845.3 20 320   5.5  497
 261      2169  26.0 845.0 20 319   5.4  497
 262      2172  26.0 844.7 20 319   5.4  498
 263      2176  25.9 844.3 20 319   5.3  498
 264      2179  25.9 844.0 20 319   5.3  498
 265      2183  25.9 843.7 20 318   5.2  499
 266      2186  25.9 843.4 20 318   5.2  499
 267      2189  25.8 843.0 20 318   5.2  500
 268      2192  25.8 842.7 20 318   5.1  500
 269      2196  25.8 842.4 20 317   5.1  501
 270      2199  25.7 842.1 20 317   5.0  501
 271      2203  25.7 841.7 20 317   5.0  501
 272      2206  25.7 841.4 20 317   4.9  502
 273      2210  25.6 841.1 20 317   4.9  502
 274      2214  25.6 840.7 20 316   4.8  503
 275      2217  25.6 840.4 20 316   4.8  503
 276      2221  25.6 840.0 20 316   4.7  503
 277      2225  25.5 839.6 20 316   4.7  504
 278      2229  25.5 839.3 20 316   4.6  504
 279      2232  25.5 838.9 20 315   4.6  505
 280      2236  25.4 838.5 20 315   4.5  505
 281      2240  25.4 838.2 20 315   4.5  506
 282      2244  25.4 837.8 20 315   4.4  507
 283      2247  25.4 837.5 20 314   4.4  507
 284      2250  25.3 837.2 20 314   4.4  508
 285      2253  25.3 836.9 20 314   4.3  508
 286      2256  25.3 836.6 20 314   4.3  509
 287      2259  25.2 836.3 20 313   4.3  509
 288      2263  25.2 836.0 20 313   4.2  509
 289      2266  25.2 835.7 20 313   4.2  510
 290      2270  25.2 835.3 20 312   4.2  510
 291      2273  25.1 835.0 20 312   4.1  511
 292      2276  25.1 834.7 20 311   4.1  511
 293      2279  25.1 834.4 21 311   4.1  512
 294      2282  25.1 834.1 21 311   4.1  513
 295      2286  25.1 833.8 21 310   4.1  513
 296      2289  25.0 833.5 21 310   4.1  514
 297      2293  25.0 833.1 21 309   4.1  514
 298      2296  25.0 832.8 21 309   4.1  515
 299      2299  24.9 832.5 21 308   4.1  515
 300      2302  24.9 832.3 21 308   4.1  515
 301      2305  24.9 832.0 21 308   4.1  516
 302      2308  24.8 831.7 21 307   4.1  516
 303      2312  24.8 831.3 21 307   4.1  517
 304      2315  24.8 831.0 21 306   4.1  518
 305      2319  24.8 830.7 21 306   4.1  518
 306      2322  24.7 830.4 21 305   4.1  518
 307      2325  24.7 830.1 21 305   4.1  519
 308      2329  24.7 829.7 21 304   4.2  519
 309      2332  24.6 829.4 21 304   4.2  520
 310      2335  24.6 829.1 22 303   4.2  520
 311      2338  24.6 828.8 22 303   4.2  521
 312      2342  24.6 828.5 22 303   4.2  521
 313      2345  24.6 828.2 22 302   4.2  522
 314      2349  24.5 827.8 22 302   4.2  523
 315      2353  24.5 827.5 22 301   4.2  523
 316      2356  24.5 827.1 22 301   4.2  524
 317      2360  24.4 826.8 22 301   4.2  524
 318      2363  24.4 826.4 22 300   4.2  525
 319      2367  24.3 826.1 22 300   4.2  525
 320      2370  24.3 825.8 22 300   4.2  526
 321      2373  24.3 825.5 22 300   4.2  526
 322      2377  24.3 825.2 22 299   4.2  526
 323      2380  24.2 824.9 22 299   4.2  527
 324      2382  24.2 824.6 22 299   4.2  527
 325      2386  24.2 824.3 22 299   4.2  528
 326      2389  24.1 824.0 22 299   4.2  528
 327      2392  24.1 823.7 22 299   4.1  529
 328      2396  24.1 823.4 23 299   4.1  529
 329      2399  24.0 823.1 23 299   4.1  530
 330      2403  24.0 822.7 23 299   4.1  530
 331      2406  24.0 822.4 23 299   4.1  531
 332      2410  23.9 822.0 23 299   4.1  531
 333      2414  23.9 821.7 23 299   4.1  532
 334      2417  23.9 821.4 23 299   4.1  532
 335      2420  23.8 821.1 23 299   4.0  532
